Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
09/25/2014, Texas Tech, 118, 30, 394, 60, 37, 16, 158, 0, 3, 32, 16, 8, 2, 0, 1911, 35, Oklahoma State, 158, 42, 370, 31, 17, 10, 129, 0, 2, 22, 12, 4, 1, 1, 1689, 45
09/25/2014, Appalachian State, 74, 22, 256, 42, 23, 7, 55, 0, 2, 20, 13, 4, 3, 1, 1312, 14, Georgia Southern, 408, 60, 88, 12, 8, 7, 75, 0, 1, 22, 14, 6, 2, 2, 2288, 34
09/25/2014, UCLA, 225, 35, 355, 23, 18, 8, 78, 0, 0, 19, 12, 6, 0, 0, 1553, 62, Arizona State, 138, 36, 488, 69, 42, 6, 59, 0, 2, 38, 20, 11, 5, 2, 2047, 27
09/26/2014, Fresno State, 272, 45, 321, 42, 28, 4, 27, 0, 1, 30, 14, 6, 3, 1, 1662, 35, New Mexico, 285, 55, 97, 8, 4, 5, 59, 0, 0, 18, 13, 4, 2, 1, 1938, 24
09/26/2014, Middle Tennessee, 280, 57, 259, 30, 25, 9, 85, 0, 0, 29, 16, 9, 1, 1, 2294, 41, Old Dominion, 41, 19, 362, 44, 29, 2, 25, 0, 3, 24, 8, 3, 0, 0, 1306, 28
09/27/2014, Iowa, 175, 51, 245, 37, 17, 3, 14, 0, 1, 22, 19, 8, 3, 1, 2070, 24, Purdue, 84, 30, 72, 32, 13, 3, 19, 0, 2, 9, 17, 6, 0, 0, 1530, 10
09/27/2014, UTEP, 59, 31, 201, 28, 18, 5, 40, 0, 0, 10, 14, 4, 2, 1, 1888, 28, Kansas State, 188, 37, 263, 19, 13, 6, 55, 0, 0, 16, 8, 2, 2, 1, 1712, 58
09/27/2014, Wyoming, 98, 27, 188, 24, 16, 5, 43, 0, 1, 11, 12, 5, 1, 0, 1469, 14, Michigan State, 338, 52, 195, 20, 16, 9, 84, 0, 0, 25, 12, 7, 4, 2, 2131, 56
09/27/2014, Northwestern, 103, 38, 258, 37, 21, 8, 75, 0, 1, 17, 17, 7, 2, 0, 1823, 29, Penn State, 50, 25, 216, 46, 22, 4, 35, 0, 1, 14, 17, 3, 4, 1, 1777, 6
09/27/2014, TCU, 265, 38, 349, 43, 28, 5, 48, 0, 0, 31, 11, 5, 1, 0, 1662, 56, SMU, 89, 45, 156, 33, 16, 6, 50, 0, 1, 17, 18, 4, 5, 3, 1938, 0
09/27/2014, South Florida, 72, 19, 173, 19, 8, 11, 90, 0, 1, 8, 9, 2, 0, 0, 1149, 10, Wisconsin, 294, 57, 160, 18, 11, 4, 35, 0, 0, 26, 12, 5, 0, 0, 2451, 27
09/27/2014, Tulane, 152, 31, 152, 29, 18, 7, 62, 0, 0, 13, 15, 3, 3, 2, 1693, 6, Rutgers, 171, 40, 291, 21, 14, 4, 30, 0, 1, 20, 10, 3, 2, 2, 1907, 31
09/27/2014, Tennessee, 117, 34, 284, 44, 27, 7, 49, 0, 0, 22, 17, 6, 0, 0, 1693, 32, Georgia, 289, 53, 147, 25, 16, 7, 57, 0, 2, 25, 10, 1, 2, 2, 1907, 35
09/27/2014, Vanderbilt, 54, 22, 85, 25, 8, 2, 10, 0, 3, 8, 12, 2, 1, 0, 1298, 7, Kentucky, 183, 50, 201, 30, 23, 5, 55, 0, 1, 23, 15, 6, 1, 0, 2302, 17
09/27/2014, Colorado State, 162, 24, 268, 41, 27, 7, 69, 0, 2, 25, 14, 8, 2, 1, 1786, 24, Boston College, 239, 49, 169, 18, 12, 5, 35, 0, 1, 21, 13, 6, 1, 1, 1814, 21
09/27/2014, Western Michigan, 19, 24, 212, 33, 18, 7, 85, 0, 1, 10, 15, 4, 1, 0, 1514, 17, Virginia Tech, 308, 47, 178, 32, 14, 9, 69, 0, 2, 26, 18, 10, 0, 0, 2086, 35
09/27/2014, Army, 386, 53, 211, 21, 12, 8, 70, 0, 0, 23, 14, 6, 3, 1, 1735, 43, Yale, 335, 56, 290, 40, 23, 7, 40, 0, 1, 36, 15, 7, 3, 3, 1865, 49
09/27/2014, Akron, 169, 36, 213, 35, 17, 10, 64, 0, 1, 20, 16, 7, 0, 0, 1574, 21, Pittsburgh, 129, 40, 220, 34, 20, 7, 55, 0, 1, 22, 16, 5, 3, 2, 2026, 10
09/27/2014, Maryland, 123, 36, 361, 33, 22, 8, 83, 0, 0, 23, 14, 5, 2, 2, 1899, 37, Indiana, 206, 47, 126, 37, 14, 9, 55, 0, 1, 22, 19, 9, 1, 0, 1701, 15
09/27/2014, Eastern Illinois, 143, 30, 289, 47, 30, 13, 124, 0, 0, 21, 19, 9, 2, 1, 1784, 19, Ohio, 229, 41, 158, 31, 17, 6, 60, 0, 2, 20, 14, 7, 1, 1, 1816, 34
09/27/2014, Bowling Green, 225, 48, 443, 60, 38, 13, 112, 0, 3, 30, 23, 10, 3, 1, 1871, 47, Massachusetts, 49, 31, 589, 61, 36, 4, 30, 0, 1, 29, 17, 6, 3, 1, 1729, 42
09/27/2014, Western Kentucky, 164, 34, 387, 54, 38, 7, 66, 0, 1, 30, 15, 7, 0, 0, 1787, 36, Navy, 412, 52, 55, 15, 3, 3, 25, 0, 1, 22, 11, 2, 3, 1, 1813, 27
09/27/2014, Minnesota, 206, 47, 167, 23, 14, 7, 65, 0, 0, 20, 14, 5, 1, 1, 2080, 30, Michigan, 83, 28, 88, 25, 10, 2, 23, 0, 1, 12, 13, 4, 0, 0, 1520, 14
09/27/2014, Kent State, 72, 33, 246, 35, 17, 7, 60, 0, 3, 18, 14, 4, 0, 0, 1772, 13, Virginia, 254, 45, 266, 32, 19, 9, 79, 0, 2, 27, 11, 7, 0, 0, 1828, 45
09/27/2014, Florida International, 93, 37, 204, 24, 9, 10, 65, 0, 0, 9, 17, 4, 0, 0, 1802, 34, UAB, 184, 47, 196, 35, 18, 5, 40, 0, 4, 21, 18, 7, 3, 1, 1798, 20
09/27/2014, Florida State, 166, 33, 365, 38, 26, 9, 58, 0, 2, 28, 11, 8, 0, 0, 1653, 56, North Carolina State, 161, 37, 359, 50, 32, 8, 83, 0, 0, 29, 16, 7, 2, 1, 1947, 41
09/27/2014, Wake Forest, -22, 23, 122, 34, 19, 4, 45, 0, 3, 7, 16, 2, 1, 0, 1550, 10, Louisville, 215, 49, 206, 32, 16, 11, 89, 0, 0, 21, 18, 8, 2, 1, 2050, 20
09/27/2014, Miami (Ohio), 133, 22, 238, 38, 12, 6, 55, 0, 0, 13, 15, 4, 2, 1, 1276, 27, Buffalo, 273, 49, 302, 39, 29, 5, 58, 0, 0, 29, 17, 10, 0, 0, 2324, 35
09/27/2014, Arkansas, 285, 47, 199, 27, 15, 8, 76, 0, 0, 22, 15, 5, 2, 1, 2220, 28, Texas A&M, 137, 27, 386, 41, 21, 9, 70, 0, 1, 21, 13, 4, 1, 0, 1380, 35
