,year,week,home_team,away_team,home_score,away_score,winner
0,2014,1,SEA,GB,36,16,SEA
1,2014,1,BAL,CIN,16,23,CIN
2,2014,1,STL,MIN,6,34,MIN
3,2014,1,PIT,CLE,30,27,PIT
4,2014,1,DEN,IND,31,24,DEN
5,2014,1,MIA,NE,33,20,MIA
6,2014,1,PHI,JAC,34,17,PHI
7,2014,1,KC,TEN,10,26,TEN
8,2014,1,HOU,WAS,17,6,HOU
9,2014,1,DAL,SF,17,28,SF
10,2014,1,TB,CAR,14,20,CAR
11,2014,1,NYJ,OAK,19,14,NYJ
12,2014,1,CHI,BUF,20,23,BUF
13,2014,1,ATL,NO,37,34,ATL
14,2014,1,DET,NYG,35,14,DET
15,2014,1,ARI,SD,18,17,ARI
16,2014,2,BAL,PIT,26,6,BAL
17,2014,2,SF,CHI,20,28,CHI
18,2014,2,CAR,DET,24,7,CAR
19,2014,2,SD,SEA,30,21,SD
20,2014,2,MIN,NE,7,30,NE
21,2014,2,BUF,MIA,29,10,BUF
22,2014,2,GB,NYJ,31,24,GB
23,2014,2,TEN,DAL,10,26,DAL
24,2014,2,DEN,KC,24,17,DEN
25,2014,2,OAK,HOU,14,30,HOU
26,2014,2,NYG,ARI,14,25,ARI
27,2014,2,WAS,JAC,41,10,WAS
28,2014,2,CLE,NO,26,24,CLE
29,2014,2,TB,STL,17,19,STL
30,2014,2,CIN,ATL,24,10,CIN
31,2014,2,IND,PHI,27,30,PHI
32,2014,3,ATL,TB,56,14,ATL
33,2014,3,CLE,BAL,21,23,BAL
34,2014,3,CAR,PIT,19,37,PIT
35,2014,3,SEA,DEN,26,20,SEA
36,2014,3,MIA,KC,15,34,KC
37,2014,3,NYG,HOU,30,17,NYG
38,2014,3,STL,DAL,31,34,DAL
39,2014,3,NO,MIN,20,9,NO
40,2014,3,ARI,SF,23,14,ARI
41,2014,3,NE,OAK,16,9,NE
42,2014,3,BUF,SD,10,22,SD
43,2014,3,CIN,TEN,33,7,CIN
44,2014,3,PHI,WAS,37,34,PHI
45,2014,3,JAC,IND,17,44,IND
46,2014,3,DET,GB,19,7,DET
47,2014,3,NYJ,CHI,19,27,CHI
48,2014,4,WAS,NYG,14,45,NYG
49,2014,4,DAL,NO,38,17,DAL
50,2014,4,NYJ,DET,17,24,DET
51,2014,4,OAK,MIA,14,38,MIA
52,2014,4,HOU,BUF,23,17,HOU
53,2014,4,BAL,CAR,38,10,BAL
54,2014,4,PIT,TB,24,27,TB
55,2014,4,IND,TEN,41,17,IND
56,2014,4,CHI,GB,17,38,GB
57,2014,4,SD,JAC,33,14,SD
58,2014,4,MIN,ATL,41,28,MIN
59,2014,4,SF,PHI,26,21,SF
60,2014,4,KC,NE,41,14,KC
61,2014,5,GB,MIN,42,10,GB
62,2014,5,TEN,CLE,28,29,CLE
63,2014,5,DEN,ARI,41,20,DEN
64,2014,5,NE,CIN,43,17,NE
65,2014,5,CAR,CHI,31,24,CAR
66,2014,5,JAC,PIT,9,17,PIT
67,2014,5,IND,BAL,20,13,IND
68,2014,5,DET,BUF,14,17,BUF
69,2014,5,DAL,HOU,20,17,DAL
70,2014,5,NO,TB,37,31,NO
71,2014,5,SF,KC,22,17,SF
72,2014,5,SD,NYJ,31,0,SD
73,2014,5,NYG,ATL,30,20,NYG
74,2014,5,PHI,STL,34,28,PHI
75,2014,5,WAS,SEA,17,27,SEA
76,2014,6,HOU,IND,28,33,IND
77,2014,6,ARI,WAS,30,20,ARI
78,2014,6,CLE,PIT,31,10,CLE
79,2014,6,OAK,SD,28,31,SD
80,2014,6,NYJ,DEN,17,31,DEN
81,2014,6,PHI,NYG,27,0,PHI
82,2014,6,MIN,DET,3,17,DET
83,2014,6,CIN,CAR,37,37,CIN
84,2014,6,MIA,GB,24,27,GB
85,2014,6,SEA,DAL,23,30,DAL
86,2014,6,ATL,CHI,13,27,CHI
87,2014,6,TEN,JAC,16,14,TEN
88,2014,6,TB,BAL,17,48,BAL
89,2014,6,BUF,NE,22,37,NE
90,2014,6,STL,SF,17,31,SF
91,2014,7,NE,NYJ,27,25,NE
92,2014,7,DEN,SF,42,17,DEN
93,2014,7,SD,KC,20,23,KC
94,2014,7,IND,CIN,27,0,IND
95,2014,7,STL,SEA,28,26,STL
96,2014,7,JAC,CLE,24,6,JAC
97,2014,7,OAK,ARI,13,24,ARI
98,2014,7,DAL,NYG,31,21,DAL
99,2014,7,GB,CAR,38,17,GB
100,2014,7,DET,NO,24,23,DET
101,2014,7,CHI,MIA,14,27,MIA
102,2014,7,WAS,TEN,19,17,WAS
103,2014,7,BUF,MIN,17,16,BUF
104,2014,7,BAL,ATL,29,7,BAL
105,2014,7,PIT,HOU,30,23,PIT
106,2014,8,DEN,SD,35,21,DEN
107,2014,8,ARI,PHI,24,20,ARI
108,2014,8,CIN,BAL,27,24,CIN
109,2014,8,KC,STL,34,7,KC
110,2014,8,CLE,OAK,23,13,CLE
111,2014,8,PIT,IND,51,34,PIT
112,2014,8,ATL,DET,21,22,DET
113,2014,8,JAC,MIA,13,27,MIA
114,2014,8,NE,CHI,51,23,NE
115,2014,8,NYJ,BUF,23,43,BUF
116,2014,8,TB,MIN,13,19,MIN
117,2014,8,TEN,HOU,16,30,HOU
118,2014,8,CAR,SEA,9,13,SEA
119,2014,8,NO,GB,44,23,NO
120,2014,8,DAL,WAS,17,20,WAS
121,2014,9,CAR,NO,10,28,NO
122,2014,9,SEA,OAK,30,24,SEA
123,2014,9,NE,DEN,43,21,NE
124,2014,9,SF,STL,10,13,STL
125,2014,9,DAL,ARI,17,28,ARI
126,2014,9,MIA,SD,37,0,MIA
127,2014,9,KC,NYJ,24,10,KC
128,2014,9,CLE,TB,22,17,CLE
129,2014,9,CIN,JAC,33,23,CIN
130,2014,9,HOU,PHI,21,31,PHI
131,2014,9,PIT,BAL,43,23,PIT
132,2014,9,MIN,WAS,29,26,MIN
133,2014,9,NYG,IND,24,40,IND
134,2014,10,CIN,CLE,3,24,CLE
135,2014,10,BAL,TEN,21,7,BAL
136,2014,10,ARI,STL,31,14,ARI
137,2014,10,SEA,NYG,38,17,SEA
138,2014,10,OAK,DEN,17,41,DEN
139,2014,10,GB,CHI,55,14,GB
140,2014,10,BUF,KC,13,17,KC
141,2014,10,NO,SF,24,27,SF
142,2014,10,TB,ATL,17,27,ATL
143,2014,10,DET,MIA,20,16,DET
144,2014,10,NYJ,PIT,20,13,NYJ
145,2014,10,JAC,DAL,17,31,DAL
146,2014,10,PHI,CAR,45,21,PHI
147,2014,11,MIA,BUF,22,9,MIA
148,2014,11,KC,SEA,24,20,KC
149,2014,11,GB,PHI,53,20,GB
150,2014,11,ARI,DET,14,6,ARI
151,2014,11,SD,OAK,13,6,SD
152,2014,11,WAS,TB,7,27,TB
153,2014,11,CAR,ATL,17,19,ATL
154,2014,11,IND,NE,20,42,NE
155,2014,11,CLE,HOU,7,23,HOU
156,2014,11,NYG,SF,10,16,SF
157,2014,11,NO,CIN,10,27,CIN
158,2014,11,CHI,MIN,21,13,CHI
159,2014,11,STL,DEN,22,7,STL
160,2014,11,TEN,PIT,24,27,PIT
161,2014,12,OAK,KC,24,20,OAK
162,2014,12,SF,WAS,17,13,SF
163,2014,12,PHI,TEN,43,24,PHI
164,2014,12,CHI,TB,21,13,CHI
165,2014,12,NE,DET,34,9,NE
166,2014,12,SEA,ARI,19,3,SEA
167,2014,12,MIN,GB,21,24,GB
168,2014,12,ATL,CLE,24,26,CLE
169,2014,12,NYG,DAL,28,31,DAL
