Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
08/27/2014, Abilene Christian, 95, 36, 403, 40, 30, 9, 86, 0, 1, 26, 14, 7, 0, 0, 2049, 37, Georgia State, 153, 33, 413, 49, 31, 12, 99, 0, 2, 33, 16, 10, 2, 2, 1551, 38
08/28/2014, Texas A&M, 169, 39, 511, 60, 44, 8, 95, 0, 0, 39, 17, 12, 2, 2, 2258, 52, South Carolina, 67, 22, 366, 40, 20, 4, 21, 0, 1, 23, 9, 2, 1, 0, 1342, 28
08/28/2014, Wake Forest, -3, 27, 97, 22, 12, 8, 51, 0, 1, 5, 14, 3, 0, 0, 1477, 10, Louisiana-Monroe, 163, 44, 189, 41, 23, 5, 25, 0, 0, 21, 21, 9, 2, 1, 2123, 17
08/28/2014, Eastern Illinois, 99, 39, 310, 57, 32, 6, 28, 0, 1, 27, 21, 8, 5, 4, 1791, 20, Minnesota, 182, 40, 156, 18, 10, 5, 50, 0, 0, 18, 12, 6, 0, 0, 1809, 42
08/28/2014, Howard, 148, 51, 68, 26, 12, 5, 48, 0, 0, 15, 18, 3, 3, 1, 2005, 0, Akron, 113, 28, 400, 44, 28, 7, 70, 0, 0, 24, 12, 5, 2, 0, 1595, 41
08/28/2014, Presbyterian, 69, 31, 58, 18, 10, 2, 12, 0, 1, 6, 12, 1, 0, 0, 1579, 3, Northern Illinois, 424, 77, 211, 32, 19, 6, 55, 0, 0, 36, 22, 14, 1, 1, 2021, 55
08/28/2014, Chattanooga, 106, 29, 150, 24, 13, 5, 54, 0, 4, 14, 11, 3, 0, 0, 1387, 16, Central Michigan, 148, 46, 173, 26, 15, 7, 55, 0, 0, 20, 14, 6, 2, 0, 2213, 20
08/28/2014, Idaho State, 179, 44, 158, 40, 21, 7, 42, 0, 0, 21, 21, 9, 0, 0, 2081, 14, Utah, 238, 46, 351, 32, 22, 7, 54, 0, 0, 27, 14, 8, 1, 1, 1519, 56
08/28/2014, Cal Poly, 259, 49, 6, 7, 2, 4, 21, 0, 1, 14, 12, 4, 0, 0, 1552, 10, New Mexico State, 197, 47, 158, 27, 18, 2, 20, 0, 1, 21, 16, 9, 1, 0, 2048, 28
08/28/2014, Boise State, 135, 37, 264, 48, 36, 9, 72, 0, 4, 26, 15, 5, 2, 1, 2174, 13, Mississippi, 71, 34, 387, 36, 25, 14, 78, 0, 3, 22, 13, 5, 2, 1, 1426, 35
08/28/2014, Tulane, 254, 30, 262, 44, 22, 9, 96, 0, 1, 22, 16, 8, 0, 0, 1741, 31, Tulsa, 154, 36, 438, 53, 31, 9, 90, 0, 2, 30, 19, 9, 1, 1, 1859, 38
08/28/2014, Rutgers, 215, 43, 281, 27, 16, 8, 78, 0, 1, 22, 14, 6, 1, 1, 1997, 41, Washington State, 6, 14, 532, 56, 40, 9, 77, 0, 1, 22, 13, 8, 2, 0, 1603, 38
08/28/2014, North Dakota, 118, 32, 126, 20, 14, 10, 61, 0, 1, 12, 12, 4, 1, 0, 1688, 10, San Jose State, 150, 40, 256, 26, 23, 4, 40, 0, 0, 23, 11, 7, 1, 0, 1912, 42
08/28/2014, Weber State, 152, 32, 156, 29, 14, 9, 74, 0, 0, 14, 15, 5, 1, 0, 1729, 14, Arizona State, 267, 45, 303, 39, 24, 4, 30, 0, 0, 32, 17, 9, 1, 1, 1871, 45
08/28/2014, Temple, 144, 45, 207, 36, 23, 3, 23, 0, 0, 17, 17, 2, 4, 2, 1982, 37, Vanderbilt, 54, 29, 224, 34, 16, 7, 66, 0, 3, 13, 14, 3, 1, 0, 1618, 7
08/29/2014, BYU, 205, 37, 308, 36, 28, 15, 150, 0, 0, 27, 13, 5, 1, 1, 1588, 35, Connecticut, 71, 31, 284, 48, 25, 8, 90, 0, 1, 23, 17, 8, 4, 1, 2012, 10
08/29/2014, Villanova, 190, 60, 199, 27, 16, 11, 93, 0, 0, 25, 20, 12, 1, 1, 2268, 26, Syracuse, 136, 34, 184, 35, 22, 7, 55, 0, 0, 21, 14, 5, 1, 1, 1332, 27
08/29/2014, Jacksonville State, 22, 25, 222, 37, 18, 7, 64, 0, 3, 14, 15, 6, 1, 0, 1315, 7, Michigan State, 211, 50, 354, 24, 18, 2, 13, 0, 0, 25, 13, 6, 1, 1, 2285, 45
08/29/2014, Bowling Green, 152, 35, 313, 36, 25, 11, 96, 0, 0, 27, 11, 4, 1, 0, 1441, 31, Western Kentucky, 139, 40, 569, 56, 46, 7, 66, 0, 0, 40, 18, 14, 0, 0, 2159, 59
08/29/2014, Colorado State, 266, 45, 134, 23, 13, 6, 63, 0, 0, 27, 11, 5, 1, 1, 1830, 31, Colorado, 134, 34, 241, 39, 24, 6, 65, 0, 0, 22, 15, 5, 2, 1, 1770, 17
