Date,Visitor,Visitor Score,Home Team,Home Score,Line
08/23/2001,New Mexico State,24,Louisville,45,20.5
08/25/2001,Texas Christian,7,Nebraska,21,30.0
08/25/2001,Virginia,17,Wisconsin,26,10.0
08/25/2001,Tulane,35,Brigham Young,70,11.0
08/25/2001,North Carolina,27,Oklahoma,41,21.0
08/26/2001,Georgia Tech,13,Syracuse,7,-7.5
08/26/2001,Fresno State,24,Colorado,22,9.5
08/30/2001,Indiana State,0,Tulsa,51, 
08/30/2001,Navy,26,Temple,45,16.5
08/30/2001,Ohio,29,Akron,31,-5.5
08/30/2001,Minnesota,7,Toledo,38,4.5
08/30/2001,Eastern Kentucky,28,Central Michigan,42, 
08/30/2001,Illinois State,7,Western Michigan,48, 
08/30/2001,Rutgers,31,Buffalo,15,-14.5
08/30/2001,South Florida,17,Northern Illinois,20,20.0
08/30/2001,Nevada-Las Vegas,10,Arkansas,14,5.0
08/30/2001,Middle Tennessee,37,Vanderbilt,28,7.5
08/30/2001,Montana State,13,U-A-B,41, 
08/30/2001,Washington State,36,Idaho,7,-9.0
08/30/2001,Arizona,23,San Diego State,10,1.0
09/01/2001,Miami-Florida,33,Penn State,7,-14.0
09/01/2001,Florida State,55,Duke,13,-30.5
09/01/2001,West Virginia,10,Boston College,34,4.5
09/01/2001,North Carolina,7,Maryland,23,-3.0
09/01/2001,Louisville,36,Kentucky,10,-4.0
09/01/2001,Arkansas State,17,Georgia,45,35.5
09/01/2001,Connecticut,10,Virginia Tech,52,46.5
09/01/2001,U-C-F,13,Clemson,21,19.5
09/01/2001,Kent State,0,Iowa,51,27.0
09/01/2001,Miami-Ohio,13,Michigan,31,25.0
09/01/2001,Colorado State,14,Colorado,41,4.0
09/01/2001,Illinois,44,California,17,2.5
09/01/2001,Syracuse,9,Tennessee,33,14.5
09/01/2001,U.C.L.A.,20,Alabama,17,3.0
09/01/2001,Richmond,16,Virginia,17, 
09/01/2001,Furman,14,Wyoming,20, 
09/01/2001,The Citadel,7,Georgia Tech,35, 
09/01/2001,East Tennessee St,0,Pittsburgh,31, 
09/01/2001,Marshall,14,Florida,49,28.0
09/01/2001,S E Missouri St,12,Eastern Michigan,16, 
09/01/2001,San Jose State,10,Southern Cal,21,14.5
09/01/2001,McNeese State,24,Texas A+M,38, 
09/01/2001,Murray State,14,Mississippi,49, 
09/01/2001,Sam Houston State,20,UL-Monroe,9, 
09/01/2001,Missouri State,10,Kansas,24, 
09/01/2001,Wake Forest,21,East Carolina,19,16.0
09/01/2001,Ball State,0,Auburn,30,23.0
09/01/2001,Oklahoma State,9,Southern Miss,17,10.5
09/01/2001,New Mexico State,7,Texas,41,35.0
09/01/2001,Boise State,13,South Carolina,32,19.5
09/01/2001,Troy,14,Nebraska,42,53.0
09/01/2001,Bowling Green,20,Missouri,13,13.0
09/01/2001,Nicholls State,0,UL-Lafayette,20, 
09/01/2001,Wisconsin,28,Oregon,31,10.0
09/01/2001,Oklahoma,44,Air Force,3,-19.0
09/01/2001,UTEP,6,New Mexico,26,3.0
09/01/2001,Tulane,17,Louisiana State,48,21.5
09/01/2001,Rice,21,Houston,14,3.0
09/01/2001,S-M-U,6,Louisiana Tech,36,5.0
09/01/2001,Utah State,19,Utah,23,10.0
09/01/2001,Texas Christian,19,North Texas,5,-20.0
09/01/2001,Nevada-Reno,7,Brigham Young,52,27.0
09/02/2001,Purdue,19,Cincinnati,14,-8.0
09/02/2001,Oregon State,24,Fresno State,44,-3.5
09/03/2001,Memphis,10,Mississippi State,30,17.5
09/06/2001,Indiana,14,No Carolina State,35,6.5
09/06/2001,Texas A+M,28,Wyoming,20,-15.0
09/07/2001,Northwestern,37,Nevada-Las Vegas,28,-3.0
09/08/2001,Appalachian State,10,Wake Forest,20, 
09/08/2001,North Carolina,14,Texas,44,23.0
09/08/2001,Western Michigan,0,Virginia Tech,31,16.0
09/08/2001,Rutgers,0,Miami-Florida,61,44.0
09/08/2001,U-C-F,10,Syracuse,21,9.0
09/08/2001,Georgia Tech,70,Navy,7,-25.0
09/08/2001,Fresno State,32,Wisconsin,20,4.0
09/08/2001,Akron,14,Ohio State,28,24.0
09/08/2001,Northern Illinois,12,Illinois,17,20.0
09/08/2001,Miami-Ohio,19,Iowa,44,14.0
09/08/2001,U.C.L.A.,41,Kansas,17,-13.5
09/08/2001,Alabama,12,Vanderbilt,9,-11.0
09/08/2001,Cincinnati,24,Army,21,-5.0
09/08/2001,Tennessee Tech,0,Air Force,42, 
09/08/2001,Wofford,14,Clemson,38, 
09/08/2001,Central Michigan,21,Michigan State,35,28.0
09/08/2001,Ohio,3,West Virginia,20,6.0
09/08/2001,Ball State,20,Kentucky,28,12.0
09/08/2001,Eastern Washington,35,Connecticut,17, 
09/08/2001,South Florida,35,Pittsburgh,26,22.0
09/08/2001,Michigan,18,Washington,23,3.0
09/08/2001,Utah,10,Oregon,24,17.0
09/08/2001,Mississippi,21,Auburn,27,5.5
09/08/2001,San Jose State,15,Colorado,51,16.0
09/08/2001,East Carolina,51,Tulane,24,-10.0
09/08/2001,Toledo,33,Temple,7,-7.5
09/08/2001,U-A-B,7,Florida State,29,24.0
09/08/2001,Nevada-Reno,18,Colorado State,35,29.5
09/08/2001,Brigham Young,44,California,16,-3.5
09/08/2001,Bucknell,17,Kent State,38, 
09/08/2001,Eastern Michigan,3,Maryland,50,25.0
09/08/2001,UL-Monroe,6,Florida,55,56.5
09/08/2001,Buffalo,0,Bowling Green,35,22.0
09/08/2001,Kansas State,10,Southern Cal,6,-3.5
09/08/2001,Arkansas State,3,Baylor,24,7.5
09/08/2001,Massachusetts,20,Marshall,49, 
09/08/2001,Western Carolina,7,Louisville,31, 
09/08/2001,Troy,17,Middle Tennessee,54,14.0
09/08/2001,Texas Christian,38,S-M-U,10,-12.5
09/08/2001,Northern Iowa,0,Iowa State,45, 
09/08/2001,North Texas,10,Oklahoma,37,40.0
09/08/2001,Texas State,6,Missouri,40, 
09/08/2001,South Carolina,14,Georgia,9,-1.5
09/08/2001,Chattanooga,10,Memphis,43, 
09/08/2001,Notre Dame,10,Nebraska,27,13.5
09/08/2001,UL-Lafayette,14,Minnesota,44,24.5
09/08/2001,Duke,13,Rice,15,9.5
09/08/2001,Louisiana Tech,23,Oklahoma State,30,10.0
09/08/2001,Utah State,14,Louisiana State,31,23.0
09/08/2001,New Mexico,30,Texas Tech,42,12.5
