Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
09/11/2014, Louisiana Tech, 98, 30, 260, 36, 23, 7, 73, 0, 1, 21, 13, 6, 0, 0, 1761, 42, North Texas, 104, 36, 175, 34, 18, 9, 90, 0, 0, 18, 18, 6, 2, 2, 1839, 21
09/11/2014, Houston, 10, 13, 315, 53, 31, 8, 83, 0, 0, 18, 15, 6, 0, 0, 1470, 25, BYU, 323, 62, 200, 34, 21, 11, 98, 0, 2, 32, 18, 10, 2, 1, 2130, 33
09/12/2014, Toledo, 240, 39, 323, 43, 28, 7, 65, 0, 0, 27, 17, 8, 2, 1, 2112, 34, Cincinnati, 148, 30, 436, 42, 29, 2, 30, 0, 0, 28, 12, 7, 0, 0, 1488, 58
09/12/2014, Baylor, 189, 41, 480, 37, 25, 5, 40, 0, 0, 27, 13, 6, 3, 3, 1496, 63, Buffalo, 139, 39, 255, 31, 18, 8, 59, 0, 0, 15, 17, 6, 3, 1, 2104, 21
09/13/2014, Indiana, 235, 37, 347, 41, 31, 11, 143, 0, 0, 30, 12, 4, 4, 1, 1720, 42, Bowling Green, 176, 40, 395, 73, 46, 4, 42, 0, 1, 39, 18, 7, 4, 2, 1880, 45
09/13/2014, Kent State, 47, 23, 79, 34, 15, 8, 62, 0, 3, 10, 14, 2, 0, 0, 1633, 0, Ohio State, 284, 53, 344, 34, 25, 6, 63, 0, 1, 33, 12, 8, 2, 1, 1967, 66
09/13/2014, Ohio, 141, 32, 236, 38, 22, 8, 75, 0, 1, 22, 14, 5, 0, 0, 1562, 14, Marshall, 257, 46, 448, 33, 20, 7, 60, 0, 1, 31, 12, 7, 1, 0, 2038, 44
09/13/2014, UCF, 90, 39, 209, 36, 22, 6, 58, 0, 2, 22, 15, 7, 2, 1, 2097, 10, Missouri, 178, 35, 144, 24, 14, 4, 47, 0, 1, 19, 14, 10, 1, 0, 1503, 38
09/13/2014, Boise State, 52, 27, 240, 29, 20, 7, 65, 0, 0, 13, 13, 4, 1, 0, 1446, 38, Connecticut, 48, 36, 242, 38, 22, 3, 30, 0, 2, 18, 18, 7, 1, 0, 2154, 21
09/13/2014, East Carolina, 75, 25, 427, 47, 23, 13, 114, 0, 0, 20, 15, 5, 1, 0, 1400, 28, Virginia Tech, 91, 33, 298, 56, 30, 8, 64, 0, 2, 26, 19, 8, 1, 0, 2200, 21
09/13/2014, Georgia Southern, 283, 38, 245, 22, 13, 5, 60, 0, 0, 22, 10, 5, 1, 1, 1518, 38, Georgia Tech, 348, 53, 188, 24, 11, 4, 55, 0, 0, 28, 14, 8, 1, 1, 2082, 42
09/13/2014, Pittsburgh, 321, 54, 101, 19, 11, 5, 40, 0, 1, 21, 14, 6, 1, 1, 2155, 42, Florida International, 57, 33, 236, 35, 17, 8, 68, 0, 0, 17, 14, 3, 2, 0, 1445, 25
09/13/2014, Syracuse, 289, 49, 175, 30, 20, 9, 41, 0, 0, 25, 15, 8, 2, 2, 2002, 40, Central Michigan, 34, 23, 183, 34, 18, 5, 49, 0, 0, 14, 10, 1, 2, 1, 1598, 3
09/13/2014, West Virginia, 183, 59, 511, 49, 37, 4, 40, 0, 1, 33, 24, 11, 4, 2, 2086, 40, Maryland, 163, 27, 284, 38, 21, 7, 71, 0, 1, 16, 15, 4, 0, 0, 1514, 37
09/13/2014, Massachusetts, 88, 39, 258, 35, 18, 2, 10, 0, 0, 20, 17, 8, 2, 2, 1673, 31, Vanderbilt, 160, 40, 150, 23, 16, 9, 77, 0, 1, 17, 12, 5, 1, 0, 1927, 34
09/13/2014, Louisville, 79, 27, 203, 43, 20, 7, 50, 0, 2, 17, 14, 4, 1, 1, 1681, 21, Virginia, 114, 40, 171, 30, 16, 7, 46, 0, 2, 13, 18, 6, 0, 0, 1919, 23
09/13/2014, Air Force, 315, 65, 224, 15, 12, 2, 20, 0, 0, 31, 13, 8, 1, 1, 2047, 48, Georgia State, 118, 26, 414, 42, 26, 7, 62, 0, 1, 26, 12, 6, 2, 1, 1553, 38
09/13/2014, Wyoming, 155, 41, 284, 33, 19, 5, 48, 0, 2, 24, 17, 9, 3, 2, 2258, 14, Oregon, 263, 37, 293, 31, 25, 4, 30, 0, 0, 32, 11, 9, 1, 0, 1342, 48
09/13/2014, UC Davis, 179, 33, 200, 34, 21, 2, 20, 0, 0, 23, 12, 4, 0, 0, 2041, 21, Colorado State, 224, 33, 452, 34, 25, 3, 25, 0, 0, 28, 8, 4, 1, 0, 1559, 49
09/13/2014, Indiana State, 44, 24, 317, 43, 25, 7, 51, 0, 0, 19, 16, 3, 2, 2, 1701, 27, Ball State, 95, 37, 266, 46, 24, 5, 58, 0, 0, 20, 21, 8, 3, 3, 1899, 20
09/13/2014, Alabama A&M, 95, 44, 257, 34, 12, 9, 86, 0, 3, 19, 19, 8, 1, 0, 1846, 14, UAB, 195, 51, 288, 32, 22, 6, 60, 0, 1, 27, 16, 7, 2, 0, 1754, 41
09/13/2014, Kansas, 202, 47, 95, 29, 12, 7, 74, 0, 2, 17, 17, 4, 2, 0, 1954, 3, Duke, 331, 36, 180, 34, 20, 5, 41, 0, 0, 23, 15, 6, 2, 1, 1646, 41
09/13/2014, Miami (Ohio), 33, 24, 165, 26, 12, 7, 40, 0, 1, 8, 12, 2, 1, 0, 1555, 10, Michigan, 276, 45, 184, 22, 13, 3, 20, 0, 1, 23, 13, 6, 0, 0, 2045, 34
