Date,Visitor,Visitor Score,Home Team,Home Score,Line
08/31/2006,Boston College,31,Central Michigan,24,-11.0
08/31/2006,Eastern Michigan,20,Ball State,38,4.5
08/31/2006,Temple,3,Buffalo,9,6.5
08/31/2006,Northwestern,21,Miami-Ohio,3,-6.0
08/31/2006,Minnesota,44,Kent State,0,-15.0
08/31/2006,Toledo,43,Iowa State,45,9.0
08/31/2006,South Carolina,15,Mississippi State,0,-6.5
08/31/2006,UTEP,34,San Diego State,27,2.5
08/31/2006,Florida Intl,6,Middle Tennessee,7,9.0
08/31/2006,Rhode Island,7,Connecticut,52, 
08/31/2006,Alcorn State,6,UL-Monroe,24, 
08/31/2006,Stephen F Austin,7,Tulsa,45, 
08/31/2006,Northern Arizona,14,Arizona State,35, 
08/31/2006,Sacramento State,0,Boise State,45, 
08/31/2006,S E Louisiana,15,New Mexico State,30, 
08/31/2006,Eastern Washington,17,Oregon State,56, 
09/01/2006,Nevada-Reno,19,Fresno State,28,13.0
09/02/2006,Vanderbilt,7,Michigan,27,27.0
09/02/2006,Northern Illinois,12,Ohio State,35,17.5
09/02/2006,Akron,16,Penn State,34,18.0
09/02/2006,Idaho,17,Michigan State,27,29.0
09/02/2006,Wisconsin,35,Bowling Green,14,-11.5
09/02/2006,Marshall,10,West Virginia,42,21.5
09/02/2006,Stanford,10,Oregon,48,12.0
09/02/2006,Rutgers,21,North Carolina,16,3.5
09/02/2006,Louisiana Tech,10,Nebraska,49,25.0
09/02/2006,San Jose State,29,Washington,35,21.0
09/02/2006,Hawaii,17,Alabama,25,15.5
09/02/2006,Utah State,7,Wyoming,38,12.5
09/02/2006,California,18,Tennessee,35,-3.0
09/02/2006,East Carolina,23,Navy,28,11.5
09/02/2006,Western Michigan,20,Indiana,39,8.5
09/02/2006,Utah,10,U.C.L.A.,31,3.0
09/02/2006,Southern Miss,7,Florida,34,19.5
09/02/2006,Syracuse,10,Wake Forest,20,14.0
09/02/2006,S-M-U,3,Texas Tech,35,25.0
09/02/2006,U-A-B,17,Oklahoma,24,23.5
09/02/2006,Virginia,13,Pittsburgh,38,6.0
09/02/2006,Washington State,14,Auburn,40,15.0
09/02/2006,Notre Dame,14,Georgia Tech,10,-7.5
09/02/2006,Southern Cal,50,Arkansas,14,-8.5
09/02/2006,Houston,31,Rice,30,-14.5
09/02/2006,Brigham Young,13,Arizona,16,6.5
09/02/2006,Florida Atlantic,6,Clemson,54,29.0
09/02/2006,Army,6,Arkansas State,14,-4.0
09/02/2006,North Texas,7,Texas,56,40.5
09/02/2006,UL-Lafayette,3,Louisiana State,45,29.5
09/02/2006,Alabama State,0,Troy,38, 
09/02/2006,Missouri State,10,Oklahoma State,52, 
09/02/2006,Villanova,16,U-C-F,35, 
09/02/2006,The Citadel,3,Texas A+M,35, 
09/02/2006,Eastern Illinois,17,Illinois,42, 
09/02/2006,Eastern Kentucky,0,Cincinnati,31, 
09/02/2006,Illinois State,23,Kansas State,24, 
09/02/2006,Indiana State,35,Purdue,60, 
09/02/2006,McNeese State,10,South Florida,41, 
09/02/2006,Montana State,19,Colorado,10, 
09/02/2006,Montana,7,Iowa,41, 
