,year,date,away_team,home_team,away_score,home_score,winner
0,2014,08/27/2014, Abilene Christian, Georgia State,37.0,38.0, Georgia State
1,2014,08/28/2014, Texas A&M, South Carolina,52.0,28.0, Texas A&M
2,2014,08/28/2014, Wake Forest, Louisiana-Monroe,10.0,17.0, Louisiana-Monroe
3,2014,08/28/2014, Eastern Illinois, Minnesota,20.0,42.0, Minnesota
4,2014,08/28/2014, Howard, Akron,0.0,41.0, Akron
5,2014,08/28/2014, Presbyterian, Northern Illinois,3.0,55.0, Northern Illinois
6,2014,08/28/2014, Chattanooga, Central Michigan,16.0,20.0, Central Michigan
7,2014,08/28/2014, Idaho State, Utah,14.0,56.0, Utah
8,2014,08/28/2014, Cal Poly, New Mexico State,10.0,28.0, New Mexico State
9,2014,08/28/2014, Boise State, Mississippi,13.0,35.0, Mississippi
10,2014,08/28/2014, Tulane, Tulsa,31.0,38.0, Tulsa
11,2014,08/28/2014, Rutgers, Washington State,41.0,38.0, Rutgers
12,2014,08/28/2014, North Dakota, San Jose State,10.0,42.0, San Jose State
13,2014,08/28/2014, Weber State, Arizona State,14.0,45.0, Arizona State
14,2014,08/28/2014, Temple, Vanderbilt,37.0,7.0, Temple
15,2014,08/29/2014, BYU, Connecticut,35.0,10.0, BYU
16,2014,08/29/2014, Villanova, Syracuse,26.0,27.0, Syracuse
17,2014,08/29/2014, Jacksonville State, Michigan State,7.0,45.0, Michigan State
18,2014,08/29/2014, Bowling Green, Western Kentucky,31.0,59.0, Western Kentucky
19,2014,08/29/2014, Colorado State, Colorado,31.0,17.0, Colorado State
20,2014,08/29/2014, UTSA, Houston,27.0,7.0, UTSA
21,2014,08/29/2014, UNLV, Arizona,13.0,58.0, Arizona
22,2014,08/30/2014, Penn State, UCF,26.0,24.0, Penn State
23,2014,08/30/2014, UCLA, Virginia,28.0,20.0, UCLA
24,2014,08/30/2014, Delaware, Pittsburgh,0.0,62.0, Pittsburgh
25,2014,08/30/2014, Appalachian State, Michigan,14.0,52.0, Michigan
26,2014,08/30/2014, North Dakota State, Iowa State,34.0,14.0, North Dakota State
27,2014,08/30/2014, Youngstown State, Illinois,17.0,28.0, Illinois
28,2014,08/30/2014, Indiana State, Indiana,10.0,28.0, Indiana
29,2014,08/30/2014, Northern Iowa, Iowa,23.0,31.0, Iowa
30,2014,08/30/2014, Ohio State, Navy,34.0,17.0, Ohio State
31,2014,08/30/2014, Western Michigan, Purdue,34.0,43.0, Purdue
32,2014,08/30/2014, Troy, UAB,10.0,48.0, UAB
33,2014,08/30/2014, Tennessee-Martin, Kentucky,14.0,59.0, Kentucky
34,2014,08/30/2014, Wofford, Georgia Tech,19.0,38.0, Georgia Tech
35,2014,08/30/2014, Georgia Southern, North Carolina State,23.0,24.0, North Carolina State
36,2014,08/30/2014, Colgate, Ball State,10.0,30.0, Ball State
37,2014,08/30/2014, Nicholls State, Air Force,16.0,44.0, Air Force
38,2014,08/30/2014, Southern Utah, Nevada,19.0,28.0, Nevada
39,2014,08/30/2014, Boston College, Massachusetts,30.0,7.0, Boston College
40,2014,08/30/2014, James Madison, Maryland,7.0,52.0, Maryland
41,2014,08/30/2014, Florida Atlantic, Nebraska,7.0,55.0, Nebraska
42,2014,08/30/2014, California, Northwestern,31.0,24.0, California
43,2014,08/30/2014, West Virginia, Alabama,23.0,33.0, Alabama
44,2014,08/30/2014, Duquesne, Buffalo,28.0,38.0, Buffalo
45,2014,08/30/2014, Hampton, Old Dominion,28.0,41.0, Old Dominion
46,2014,08/30/2014, Rice, Notre Dame,17.0,48.0, Notre Dame
47,2014,08/30/2014, Marshall, Miami (Ohio),42.0,27.0, Marshall
48,2014,08/30/2014, South Dakota State, Missouri,18.0,38.0, Missouri
49,2014,08/30/2014, Montana, Wyoming,12.0,17.0, Wyoming
50,2014,08/30/2014, Portland State, Oregon State,14.0,29.0, Oregon State
51,2014,08/30/2014, UC Davis, Stanford,0.0,45.0, Stanford
52,2014,08/30/2014, Arkansas, Auburn,21.0,45.0, Auburn
